sku,name,currentCategoryName,suggestedCategoryName,suggestedSubcategoryName,suggestedTags,suggestedContext
"1000","PLACA DE CARGA BEST SAMSUNG M32 4G TURBO","Placa de Carga","Placa de Carga","","placa de carga|samsung|best|turbo|m32 4g",""
"1003","FLEX MAIN SAMSUNG A33 ","Main Flex","Main Flex","","main flex|samsung|a33",""
"1005","ALTAVOZ SAMSUNG A21 ","Parlante","Parlante","","parlante|samsung|a21",""
"1011","BATERIA FOXCONN IPHONE 12/12 PRO  CAJA NEGRA","Baterías","Baterias","","baterias|iphone|foxconn|12|12 pro",""
"1013","PASTA TERMICA YNPJ G190 30G","Herramientas e insumos","Herramientas e insumos","HERRAMIENTAS VARIAS","herramientas e insumos|g190",""
"1017","ALTAVOZ XIAOMI MI 11 LITE","Parlante","Parlante","","parlante|xiaomi|11 lite",""
"1021","TAPA IPHONE 16 PRO MAX CON MAGSAFE GRIS CLARO","Tapas","Tapas","","tapas|iphone|16 pro max",""
"1025","TAPAS MOTOROLA G60S AZUL MARINO","Tapas","Tapas","","tapas|motorola|moto",""
"","MODULO VEZR XIAOMI REDMI 14C / POCO C75 / A4 5G","Modulos","Modulos","","modulos|xiaomi|redmi|poco|vezr|a4 5g",""
"1031","VISOR DE CAMARA MOTO E5 PLUS","Visor de Camara","Visor de Camara","","visor de camara|moto|e5 plus|lente camara|vidrio camara","Es visor/lente/vidrio externo de camara. No es camara frontal ni camara trasera completa."
"1040","MODULO JCID IPHONE 14","Modulos","Modulos","","modulos|iphone|jcid|14",""
"1049","PORTA SIM SAMSUNG A23 4G NEGRO","Porta Sim","Porta Sim","","porta sim|samsung|a23 4g",""
"3613","TAPAS IPHONE 14 BLANCO","Tapas","Tapas","","tapas|iphone|14",""
"1056","GLASS + OCA MOTOROLA G53","Glass","Glass","","glass|motorola|moto|g53","Es glass/tactil/OCA, no modulo completo de pantalla."
"1058","PLACA DE CARGA VEZR XIAOMI REDMI 13C/C65 TURBO ","Placa de Carga","Placa de Carga","","placa de carga|xiaomi|redmi|vezr|turbo",""
"1066","BATERIA VEZR SAMSUNG S24 / EB-BS922ABY","Baterías","Baterias","","baterias|samsung|vezr|s24",""
